"source","gene","sample","ngl_link"
"Kondo et al. 2020","5-HT1B","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6386276184883200"
"Kondo et al. 2020","5-HT1B","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5166197376024576"
"Kondo et al. 2020","5-HT2A","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4972185541148672"
"Kondo et al. 2020","5-HT2A","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5133493750202368"
"Kondo et al. 2020","5-HT2B","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6736108342738944"
"Kondo et al. 2020","5-HT2B","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6098085447991296"
"Kondo et al. 2020","5-HT7","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5222903829233664"
"Kondo et al. 2020","5-HT7","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6073260537020416"
"Kondo et al. 2020","AkhR","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5286204424585216"
"Kondo et al. 2020","AkhR","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6259393657044992"
"Kondo et al. 2020","AstA-R1","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6522013215621120"
"Kondo et al. 2020","AstA-R1","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5009472006127616"
"Kondo et al. 2020","AstA-R2","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5526393063473152"
"Kondo et al. 2020","AstC-R1","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4790917385945088"
"Kondo et al. 2020","AstC-R1","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6348803736076288"
"Kondo et al. 2020","AstC-R2","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6405465494781952"
"Kondo et al. 2020","AstC-R2","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6138695571734528"
"Kondo et al. 2020","CCAP-R","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4978901301329920"
"Kondo et al. 2020","CCAP-R","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5510310583599104"
"Kondo et al. 2020","CCHa1-R","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4966041053560832"
"Kondo et al. 2020","CCHa1-R","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6292097282867200"
"Kondo et al. 2020","CCHa2-R","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5272502648438784"
"Kondo et al. 2020","CCHa2-R","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4884722399313920"
"Kondo et al. 2020","CCKLR-17D1","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4852018773491712"
"Kondo et al. 2020","CCKLR-17D1","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5535135494569984"
"Kondo et al. 2020","CCKLR-17D3","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4847610123780096"
"Kondo et al. 2020","CCKLR-17D3","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4998090611228672"
"Kondo et al. 2020","CapaR","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6652292970315776"
"Kondo et al. 2020","CapaR","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4863247831269376"
"Kondo et al. 2020","CapaR","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5093103877750784"
"Kondo et al. 2020","CrzR","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6412104331427840"
"Kondo et al. 2020","D2R","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6123990518071296"
"Kondo et al. 2020","DKaiR1D","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5561040564649984"
"Kondo et al. 2020","DKaiR1D","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4611599389163520"
"Kondo et al. 2020","DopEcR","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6221125926256640"
"Kondo et al. 2020","DopEcR","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4813751042703360"
"Kondo et al. 2020","DopR1","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4691624159346688"
"Kondo et al. 2020","DopR1","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5989147738112000"
"Kondo et al. 2020","DopR2","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4865761754480640"
"Kondo et al. 2020","DopR2","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5916817292787712"
"Kondo et al. 2020","GABA-B-R1","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4977707300421632"
"Kondo et al. 2020","GABA-B-R1","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4618314872520704"
"Kondo et al. 2020","GABA-B-R2","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5575745618313216"
"Kondo et al. 2020","GABA-B-R2","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5258861362544640"
"Kondo et al. 2020","GluClalpha","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6701645525155840"
"Kondo et al. 2020","GluClalpha","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5611843451092992"
"Kondo et al. 2020","GluRIB","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4941428852523008"
"Kondo et al. 2020","GluRIB","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6398402555281408"
"Kondo et al. 2020","GluRIIA","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6636210490441728"
"Kondo et al. 2020","GluRIIA","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6631320133304320"
"Kondo et al. 2020","GluRIIB","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6661035401412608"
"Kondo et al. 2020","GluRIIB","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6067328759365632"
"Kondo et al. 2020","GluRIIC","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5370509909819392"
"Kondo et al. 2020","GluRIIC","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5977918680334336"
"Kondo et al. 2020","GluRIID","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6091940960403456"
"Kondo et al. 2020","GluRIID","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5730324309868544"
"Kondo et al. 2020","GluRIIE","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4878849434189824"
"Kondo et al. 2020","GluRIIE","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6135371912970240"
"Kondo et al. 2020","Grd","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4692425867001856"
"Kondo et al. 2020","Grd","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5426197784690688"
"Kondo et al. 2020","Lcch3","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6496409816662016"
"Kondo et al. 2020","Lcch3","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5922339253387264"
"Kondo et al. 2020","Nmdar1","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5167374356447232"
"Kondo et al. 2020","Nmdar1","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6686940471492608"
"Kondo et al. 2020","Nmdar2","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4555398827737088"
"Kondo et al. 2020","Nmdar2","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5414968726913024"
"Kondo et al. 2020","Oamb","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5504378805944320"
"Kondo et al. 2020","Oamb","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5572421959548928"
"Kondo et al. 2020","TyrRII","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6363437629177856"
"Kondo et al. 2020","TyrRII","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6552097691533312"
"Kondo et al. 2020","hec","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5098509362528256"
"Kondo et al. 2020","hec","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5744214779363328"
"Kondo et al. 2020","mAChR-A","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5541851254751232"
"Kondo et al. 2020","mAChR-A","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4590626552152064"
"Kondo et al. 2020","mAChR-B","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4666822468042752"
"Kondo et al. 2020","mAChR-B","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6293274263289856"
"Kondo et al. 2020","mGluR","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5004729447874560"
"Kondo et al. 2020","mGluR","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4620341820260352"
"Kondo et al. 2020","ort","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5973510030622720"
"Kondo et al. 2020","ort","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5716526458994688"
"Kondo et al. 2020","pdfr","no1","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5695087970353152"
"Kondo et al. 2020","pdfr","no2","https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4837195121688576"
